3	2	2	0	1	3	4	4	4	5	1	3	4	2	2	3	4	5	3	4	57	3	1	0	1	1	1	0	1	0	1	1	-999	2	2	0	0	1	0
3	2	2	0	0	3	4	5	3	5	1	4	3	2	2	4	4	5	3	4	57	3	1	0	1	1	1	0	1	0	1	1	-999	2	2	0	0	1	0
3	2	2	1	1	3	5	4	4	4	4	3	5	4	3	4	4	4	3	2	57	3	1	0	1	1	1	0	1	0	1	1	-999	2	2	0	0	1	0
3	2	2	1	0	5	1	4	5	5	2	3	4	1	3	5	5	5	5	5	57	3	1	0	1	1	1	0	1	0	1	1	-999	2	2	0	0	1	0
4	2	2	0	1	2	5	3	2	3	2	2	4	2	2	4	4	4	3	4	35	2	2	0	1	0	0	0	0	0	0	0	2	2	2	1	1	1	1
4	2	2	0	0	2	4	3	2	3	2	2	3	2	2	3	3	4	3	4	35	2	2	0	1	0	0	0	0	0	0	0	2	2	2	1	1	1	1
4	2	2	1	1	4	5	4	5	3	4	2	4	2	2	4	3	4	3	4	35	2	2	0	1	0	0	0	0	0	0	0	2	2	2	1	1	1	1
4	2	2	1	0	3	3	3	4	3	3	2	3	2	2	4	4	4	3	3	35	2	2	0	1	0	0	0	0	0	0	0	2	2	2	1	1	1	1
5	1	2	0	1	5	4	4	4	5	2	1	1	4	1	4	4	5	4	4	60	3	1	0	1	1	1	0	0	0	1	0	1	2	4	1	0	0	0
5	1	2	0	0	1	3	2	2	3	4	3	3	2	4	2	2	2	2	2	60	3	1	0	1	1	1	0	0	0	1	0	1	2	4	1	0	0	0
5	1	2	1	1	4	4	5	5	5	2	1	1	1	1	5	5	5	5	5	60	3	1	0	1	1	1	0	0	0	1	0	1	2	4	1	0	0	0
5	1	2	1	0	2	2	2	2	2	4	3	3	2	2	2	2	2	2	2	60	3	1	0	1	1	1	0	0	0	1	0	1	2	4	1	0	0	0
7	1	2	0	1	4	2	4	3	3	2	2	2	3	3	4	4	3	3	4	16	1	2	1	0	1	0	0	1	0	0	1	1	3	2	0	0	1	0
7	1	2	0	0	2	4	2	3	2	4	4	4	3	3	2	3	3	3	2	16	1	2	1	0	1	0	0	1	0	0	1	1	3	2	0	0	1	0
7	1	2	1	1	4	4	3	3	3	2	3	2	3	2	4	4	3	3	2	16	1	2	1	0	1	0	0	1	0	0	1	1	3	2	0	0	1	0
7	1	2	1	0	4	4	3	3	3	2	3	3	3	4	2	2	3	3	4	16	1	2	1	0	1	0	0	1	0	0	1	1	3	2	0	0	1	0
12	1	2	0	1	4	5	3	4	4	1	2	1	1	1	4	5	5	3	4	27	2	2	0	0	1	1	0	0	0	1	0	4	2	2	0	1	1	0
12	1	2	0	0	3	4	3	4	4	1	2	1	1	1	4	5	5	3	4	27	2	2	0	0	1	1	0	0	0	1	0	4	2	2	0	1	1	0
12	1	2	1	1	4	5	5	4	3	2	1	1	1	1	3	4	4	2	4	27	2	2	0	0	1	1	0	0	0	1	0	4	2	2	0	1	1	0
