3	2	2	57	3	1	0	1	1	1	0	1	0	1	1	-999	2	2	0	0	1	0	3	4	4	4	5	1	3	4	2	2	3	4	5	3	4	3	4	5	3	5	1	4	3	2	2	4	4	5	3	4	3	5	4	4	4	4	3	5	4	3	4	4	4	3	2	5	1	4	5	5	2	3	4	1	3	5	5	5	5	5
4	2	2	35	2	2	0	1	0	0	0	0	0	0	0	2	2	2	1	1	1	1	2	5	3	2	3	2	2	4	2	2	4	4	4	3	4	2	4	3	2	3	2	2	3	2	2	3	3	4	3	4	4	5	4	5	3	4	2	4	2	2	4	3	4	3	4	3	3	3	4	3	3	2	3	2	2	4	4	4	3	3
5	1	2	60	3	1	0	1	1	1	0	0	0	1	0	1	2	4	1	0	0	0	5	4	4	4	5	2	1	1	4	1	4	4	5	4	4	1	3	2	2	3	4	3	3	2	4	2	2	2	2	2	4	4	5	5	5	2	1	1	1	1	5	5	5	5	5	2	2	2	2	2	4	3	3	2	2	2	2	2	2	2
7	1	2	16	1	2	1	0	1	0	0	1	0	0	1	1	3	2	0	0	1	0	4	2	4	3	3	2	2	2	3	3	4	4	3	3	4	2	4	2	3	2	4	4	4	3	3	2	3	3	3	2	4	4	3	3	3	2	3	2	3	2	4	4	3	3	2	4	4	3	3	3	2	3	3	3	4	2	2	3	3	4
12	1	2	27	2	2	0	0	1	1	0	0	0	1	0	4	2	2	0	1	1	0	4	5	3	4	4	1	2	1	1	1	4	5	5	3	4	3	4	3	4	4	1	2	1	1	1	4	5	5	3	4	4	5	5	4	3	2	1	1	1	1	3	4	4	2	4	2	3	3	3	3	2	1	1	1	1	3	4	4	3	4
14	3	2	31	2	2	0	0	1	0	0	1	1	0	1	-999	3	3	1	1	1	1	4	5	4	3	4	3	3	2	3	1	1	5	5	2	1	3	5	5	3	5	3	3	1	3	1	4	5	5	5	5	1	5	2	1	2	3	5	1	1	1	1	1	2	1	1	5	5	5	3	5	1	1	1	1	1	3	4	3	5	5
18	3	2	44	2	2	0	0	1	1	0	1	1	1	1	3	2	1	1	0	1	0	5	5	5	5	5	2	1	3	5	1	5	5	5	5	5	1	1	1	1	1	4	5	3	1	5	1	1	1	1	1	5	5	4	5	5	2	4	3	3	3	5	5	5	5	5	1	1	1	3	2	3	2	3	3	3	3	3	3	3	3
19	1	2	47	3	2	0	0	0	0	0	0	0	0	0	3	3	2	1	0	0	0	2	3	3	3	3	3	3	3	3	3	1	1	2	2	1	3	3	3	3	3	2	3	3	3	3	1	1	2	1	2	1	2	3	3	2	3	2	1	3	2	1	1	1	3	3	2	2	3	3	2	3	2	1	3	2	1	1	1	3	3
20	1	2	47	3	2	0	0	1	1	0	0	0	1	0	4	3	3	0	0	1	1	1	5	1	1	3	2	5	1	3	5	1	3	1	1	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	4	1	3	3	3	2	2	5	4	3	3	4	1	1	2	3	4	3	3	3	3	2	3	3	3	3	3	3	3	3	3
23	1	2	27	2	1	0	0	0	0	0	0	0	0	0	3	3	2	1	1	1	1	4	5	4	4	4	1	1	2	1	1	4	4	5	3	4	3	2	3	3	4	3	2	3	1	1	3	4	5	3	3	4	5	3	4	4	2	2	2	2	2	4	3	4	2	3	3	3	3	3	4	3	3	1	3	2	4	4	4	2	3
24	1	2	28	2	1	0	0	1	1	0	0	0	1	0	4	1	3	0	0	1	0	5	4	4	3	3	4	3	3	2	2	4	4	2	4	5	3	2	3	3	3	2	3	4	4	3	2	2	3	3	3	5	4	5	4	4	4	2	3	3	2	4	5	4	4	5	2	2	2	3	3	2	4	4	5	4	2	2	3	3	1
25	1	2	29	2	1	0	0	1	1	0	0	0	1	0	4	3	3	0	0	1	0	5	5	5	5	5	2	2	3	1	2	5	5	5	4	5	3	2	1	1	2	5	4	3	5	4	1	1	1	2	1	5	5	5	5	4	1	1	3	1	2	5	5	5	4	4	1	1	1	1	2	5	5	3	5	4	1	1	1	2	2
26	1	2	33	2	1	0	0	1	1	0	1	0	1	1	-999	3	2	0	0	1	1	4	4	4	1	4	4	1	1	1	1	4	4	4	4	5	1	1	1	1	1	1	5	1	4	5	1	1	1	1	1	5	5	3	4	4	5	1	1	1	1	4	4	4	3	4	1	1	1	1	1	1	3	3	4	4	1	1	1	3	1
30	1	2	58	3	1	0	0	1	1	0	0	0	1	0	4	3	2	0	0	1	0	5	5	3	3	1	1	1	1	1	1	5	4	5	4	4	1	1	2	2	1	4	5	2	1	1	1	2	2	3	2	3	4	3	3	3	3	4	4	2	2	4	2	4	2	2	3	2	3	3	3	3	2	2	2	2	4	4	4	2	4
31	1	2	59	3	1	0	0	1	1	0	0	0	1	0	-999	3	2	1	1	1	0	3	4	3	4	4	1	1	3	2	2	4	4	4	4	5	2	3	3	3	3	2	4	3	2	3	2	2	3	3	1	4	4	4	3	3	3	3	3	2	2	4	3	4	3	4	2	2	3	3	4	3	2	3	2	3	2	3	2	3	2
32	1	2	57	3	2	0	0	1	1	0	0	0	1	0	4	2	2	0	0	1	1	3	2	3	3	4	2	1	1	1	1	4	3	5	3	3	3	2	3	3	4	2	1	1	1	1	3	4	5	3	5	1	4	3	4	3	1	1	1	1	1	3	3	4	3	4	3	3	3	3	3	1	1	1	1	1	4	4	4	3	4
33	3	2	24	1	1	0	0	1	0	0	0	1	0	1	3	3	4	1	1	1	1	3	5	3	3	4	5	2	4	4	3	1	4	4	2	1	5	5	3	3	4	1	2	2	2	3	5	5	5	4	5	1	5	3	3	3	1	5	5	4	5	1	1	1	2	1	5	5	3	3	3	4	2	2	2	2	3	3	5	4	5
